,vek_skupina,pocet
0,"(-0.001, 5.0]",17.05
1,"(5.0, 10.0]",32.08
2,"(10.0, 15.0]",34.86
3,"(15.0, 20.0]",28.3
4,"(20.0, 25.0]",27.85
5,"(25.0, 30.0]",27.57
6,"(30.0, 35.0]",26.91
7,"(35.0, 40.0]",30.11
8,"(40.0, 45.0]",31.25
9,"(45.0, 50.0]",29.07
10,"(50.0, 55.0]",28.79
11,"(55.0, 60.0]",27.14
12,"(60.0, 65.0]",19.83
13,"(65.0, 70.0]",16.95
14,"(70.0, 75.0]",15.11
15,"(75.0, 80.0]",17.08
16,"(80.0, 85.0]",16.27
17,"(85.0, 90.0]",17.87
18,"(90.0, 95.0]",17.03
19,"(95.0, inf]",13.87
