,kraj_nazev,count
0,Hlavní město Praha,1220
1,Jihomoravský kraj,734
2,Jihočeský kraj,388
3,Karlovarský kraj,171
4,Kraj Vysočina,295
5,Královéhradecký kraj,334
6,Liberecký kraj,255
7,Moravskoslezský kraj,670
8,Olomoucký kraj,340
9,Pardubický kraj,295
10,Plzeňský kraj,356
11,Středočeský kraj,677
12,Zlínský kraj,326
13,Ústecký kraj,460
